structure,dump_path,N,Fmax,F95,Frms,Fmean,reject
str_016,relaxed/str_016.force.dump,135,0.000153185,6.958183999999999e-05,4.059118662321956e-05,3.450038985185185e-05,False
str_098,relaxed/str_098.force.dump,133,0.00015218,7.360507999999998e-05,4.412319164961255e-05,3.875978172932331e-05,False
str_043,relaxed/str_043.force.dump,147,0.000151975,7.657566e-05,4.85955504153375e-05,4.406562619047619e-05,False
str_100,relaxed/str_100.force.dump,135,0.000148091,9.895612999999996e-05,5.634412333089297e-05,5.041657792592593e-05,False
str_080,relaxed/str_080.force.dump,129,0.000147325,6.622103999999999e-05,4.002964572651176e-05,3.3423307364341086e-05,False
str_067,relaxed/str_067.force.dump,145,0.000145878,7.32319e-05,4.4925612385662255e-05,4.03875404137931e-05,False
str_104,relaxed/str_104.force.dump,117,0.000144986,8.713645999999988e-05,4.836750591199554e-05,4.257273931623932e-05,False
str_037,relaxed/str_037.force.dump,146,0.000142256,8.560175000000001e-05,5.2567619113015486e-05,4.757126863013698e-05,False
str_076,relaxed/str_076.force.dump,132,0.000141759,9.078865999999998e-05,5.500544007500648e-05,4.987046712121212e-05,False
str_054,relaxed/str_054.force.dump,150,0.000141271,7.708784999999997e-05,4.7412963265109495e-05,4.247477873333333e-05,False
str_034,relaxed/str_034.force.dump,117,0.00013936,9.144768e-05,5.46870856195323e-05,4.940690572649573e-05,False
str_102,relaxed/str_102.force.dump,141,0.000137041,6.46175e-05,4.350736592624296e-05,3.920836368794326e-05,False
str_089,relaxed/str_089.force.dump,130,0.000134542,7.416796e-05,4.429400190291453e-05,3.915307484615385e-05,False
str_107,relaxed/str_107.force.dump,128,0.000132673,6.217651499999998e-05,4.06471222368705e-05,3.532065953125e-05,False
str_070,relaxed/str_070.force.dump,125,0.000131263,8.56402e-05,4.8134587797164434e-05,4.251973376e-05,False
str_079,relaxed/str_079.force.dump,148,0.000129702,8.592718500000003e-05,5.303719588304621e-05,4.816562391891892e-05,False
